filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800e59 	
| V:1 D:1 Tag: 0x410dc2 	
| V:1 D:1 Tag: 0x410dc3 	
| V:1 D:1 Tag: 0x410dc4 	
| V:1 D:1 Tag: 0x410dc5 	
| V:1 D:1 Tag: 0x410dc6 	
| V:1 D:1 Tag: 0x410dc7 	
| V:1 D:1 Tag: 0x410dc8 	
| V:1 D:1 Tag: 0x410dc9 	
| V:1 D:1 Tag: 0x410dca 	
| V:1 D:1 Tag: 0x410dcb 	
| V:1 D:1 Tag: 0x410dcc 	
| V:1 D:1 Tag: 0x410dcd 	
| V:1 D:1 Tag: 0x410dce 	
| V:1 D:1 Tag: 0x410dcf 	
| V:1 D:1 Tag: 0x410dd0 	
| V:1 D:1 Tag: 0x410dd1 	
| V:1 D:1 Tag: 0x410dd2 	
| V:1 D:1 Tag: 0x410dd3 	
| V:1 D:1 Tag: 0x410dd4 	
| V:1 D:1 Tag: 0x410dd5 	
| V:1 D:1 Tag: 0x410dd6 	
| V:1 D:1 Tag: 0x410dd7 	
| V:1 D:1 Tag: 0x410dd8 	
| V:1 D:1 Tag: 0x410dd9 	
| V:1 D:1 Tag: 0x410dda 	
| V:1 D:1 Tag: 0x410ddb 	
| V:1 D:1 Tag: 0x410ddc 	
| V:1 D:1 Tag: 0x410ddd 	
| V:1 D:1 Tag: 0x410dde 	
| V:1 D:1 Tag: 0x410ddf 	
| V:1 D:1 Tag: 0x410de0 	
| V:1 D:1 Tag: 0x410de1 	
| V:1 D:1 Tag: 0x410de2 	
| V:1 D:1 Tag: 0x410de3 	
| V:1 D:1 Tag: 0x410de4 	
| V:1 D:1 Tag: 0x410de5 	
| V:1 D:1 Tag: 0x410de6 	
| V:1 D:1 Tag: 0x410de7 	
| V:1 D:1 Tag: 0x410de8 	
| V:1 D:1 Tag: 0x410de9 	
| V:1 D:1 Tag: 0x410dea 	
| V:1 D:1 Tag: 0x410deb 	
| V:1 D:1 Tag: 0x410dec 	
| V:1 D:1 Tag: 0x410ded 	
| V:1 D:1 Tag: 0x410dee 	
| V:1 D:1 Tag: 0x410def 	
| V:1 D:1 Tag: 0x410df0 	
| V:1 D:1 Tag: 0x410df1 	
| V:1 D:1 Tag: 0x410df2 	
| V:1 D:1 Tag: 0x410df3 	
| V:1 D:1 Tag: 0x410df4 	
| V:1 D:1 Tag: 0x410df5 	
| V:1 D:1 Tag: 0x410df6 	
| V:1 D:1 Tag: 0x410df7 	
| V:1 D:1 Tag: 0x410df8 	
| V:1 D:1 Tag: 0x410df9 	
| V:1 D:1 Tag: 0x410dfa 	
| V:1 D:1 Tag: 0x410dfb 	
| V:1 D:1 Tag: 0x410dfc 	
| V:1 D:1 Tag: 0x410dfd 	
| V:1 D:1 Tag: 0x410dfe 	
| V:1 D:1 Tag: 0x410dff 	
| V:1 D:1 Tag: 0x410e00 	
| V:1 D:1 Tag: 0x410e01 	
| V:1 D:1 Tag: 0x410e02 	
| V:1 D:1 Tag: 0x410e03 	
| V:1 D:1 Tag: 0x410e04 	
| V:1 D:1 Tag: 0x410e05 	
| V:1 D:1 Tag: 0x410e06 	
| V:1 D:1 Tag: 0x410e07 	
| V:1 D:1 Tag: 0x410e08 	
| V:1 D:1 Tag: 0x410e09 	
| V:1 D:1 Tag: 0x410e0a 	
| V:1 D:1 Tag: 0x410e0b 	
| V:1 D:1 Tag: 0x410e0c 	
| V:1 D:1 Tag: 0x410e0d 	
| V:1 D:1 Tag: 0x410e0e 	
| V:1 D:1 Tag: 0x410e0f 	
| V:1 D:1 Tag: 0x410e10 	
| V:1 D:1 Tag: 0x410e11 	
| V:1 D:1 Tag: 0x410e12 	
| V:1 D:1 Tag: 0x410e13 	
| V:1 D:1 Tag: 0x410e14 	
| V:1 D:1 Tag: 0x410e15 	
| V:1 D:1 Tag: 0x410e16 	
| V:1 D:1 Tag: 0x410e17 	
| V:1 D:1 Tag: 0x410e18 	
| V:1 D:1 Tag: 0x410e19 	
| V:1 D:1 Tag: 0x410e1a 	
| V:1 D:1 Tag: 0x410e1b 	
| V:1 D:1 Tag: 0x410e1c 	
| V:1 D:1 Tag: 0x410e1d 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x40072c 	
| V:1 D:0 Tag: 0x4002a8 	
| V:1 D:0 Tag: 0x4004d4 	
| V:1 D:0 Tag: 0x4003a3 	
| V:1 D:0 Tag: 0x4004a2 	
| V:1 D:0 Tag: 0x4004a1 	
| V:1 D:0 Tag: 0x4004a3 	
| V:1 D:0 Tag: 0x400781 	
| V:1 D:0 Tag: 0x400780 	
| V:1 D:0 Tag: 0x400754 	
| V:1 D:0 Tag: 0x400753 	
| V:1 D:0 Tag: 0x4004a0 	
| V:1 D:0 Tag: 0x40040c 	
| V:1 D:0 Tag: 0x40040b 	
| V:1 D:0 Tag: 0x40040a 	
| V:1 D:0 Tag: 0x400409 	
| V:1 D:0 Tag: 0x40266a 	
| V:1 D:1 Tag: 0x20870f 	
| V:1 D:0 Tag: 0x40049f 	
| V:1 D:0 Tag: 0x40049e 	
| V:1 D:0 Tag: 0x4003a2 	
| V:1 D:0 Tag: 0x4004d3 	
| V:1 D:0 Tag: 0x402666 	
| V:1 D:0 Tag: 0x402665 	
| V:1 D:1 Tag: 0x208710 	
| V:1 D:0 Tag: 0x40250c 	
| V:1 D:0 Tag: 0x4004d2 	
| V:1 D:0 Tag: 0x4004d1 	
| V:1 D:0 Tag: 0x4004c5 	
| V:1 D:0 Tag: 0x4004c4 	
| V:1 D:0 Tag: 0x402523 	
| V:1 D:1 Tag: 0x208711 	
| V:1 D:0 Tag: 0x402522 	
| V:1 D:0 Tag: 0x402524 	
| V:1 D:1 Tag: 0x208712 	
| V:1 D:0 Tag: 0x4003fd 	
| V:1 D:0 Tag: 0x4003fe 	
| V:1 D:0 Tag: 0x4003fc 	
| V:1 D:0 Tag: 0x400406 	
| V:1 D:0 Tag: 0x400405 	
| V:1 D:0 Tag: 0x4003fb 	
| V:1 D:0 Tag: 0x400439 	
| V:1 D:0 Tag: 0x40251b 	
| V:1 D:1 Tag: 0x208713 	
| V:1 D:0 Tag: 0x400438 	
| V:1 D:0 Tag: 0x400739 	
| V:1 D:0 Tag: 0x402783 	
| V:1 D:0 Tag: 0x400738 	
| V:1 D:1 Tag: 0x208714 	
| V:1 D:0 Tag: 0x203ffe1 	
| V:1 D:0 Tag: 0x400437 	
| V:1 D:0 Tag: 0x400436 	
| V:1 D:0 Tag: 0x40266e 	
| V:1 D:1 Tag: 0x208715 	
| V:1 D:0 Tag: 0x40250d 	
| V:1 D:0 Tag: 0x4003fa 	
| V:1 D:0 Tag: 0x400403 	
| V:1 D:0 Tag: 0x4003f9 	
| V:1 D:0 Tag: 0x4003f1 	
| V:1 D:0 Tag: 0x203ffe6 	
| V:1 D:1 Tag: 0x208716 	
| V:1 D:0 Tag: 0x40250b 	
| V:1 D:1 Tag: 0x208717 	
| V:1 D:0 Tag: 0x4004c2 	
| V:1 D:0 Tag: 0x402519 	
| V:1 D:0 Tag: 0x4004c3 	
| V:1 D:0 Tag: 0x402512 	
| V:1 D:1 Tag: 0x208718 	
| V:1 D:0 Tag: 0x402511 	
| V:1 D:0 Tag: 0x402513 	
| V:1 D:1 Tag: 0x208719 	
| V:1 D:0 Tag: 0x4004c1 	
| V:1 D:0 Tag: 0x203ffe7 	
| V:1 D:0 Tag: 0x4004c6 	
| V:1 D:0 Tag: 0x4028e7 	
| V:1 D:1 Tag: 0x20871a 	
| V:1 D:0 Tag: 0x402510 	
| V:1 D:0 Tag: 0x4004c0 	
| V:1 D:0 Tag: 0x402778 	
| V:1 D:1 Tag: 0x20871b 	
| V:1 D:0 Tag: 0x4004bf 	
| V:1 D:0 Tag: 0x402777 	
| V:1 D:0 Tag: 0x4004be 	
| V:1 D:0 Tag: 0x40267d 	
| V:1 D:1 Tag: 0x20871c 	
| V:1 D:0 Tag: 0x40267c 	
| V:1 D:0 Tag: 0x4002a7 	
| V:1 D:0 Tag: 0x4025dc 	
| V:1 D:1 Tag: 0x20871d 	
| V:1 D:0 Tag: 0x4002a5 	
| V:1 D:0 Tag: 0x4028d7 	
| V:1 D:0 Tag: 0x401c33 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x402743 	
| V:1 D:1 Tag: 0x20871e 	
| V:1 D:0 Tag: 0x4024c3 	
| V:1 D:0 Tag: 0x402744 	
| V:1 D:1 Tag: 0x20871f 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x402805 	
| V:1 D:1 Tag: 0x208720 	
| V:1 D:0 Tag: 0x400292 	
