filename = Config/Base_32.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x815d 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x8103 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x819d 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:1 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:1 Tag: 0x8120 	
| V:1 D:1 Tag: 0x8120 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8103 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8167 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x811a 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8150 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:0 Tag: 0x8165 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x8163 	
| V:1 D:0 Tag: 0x810d 	
| V:1 D:0 Tag: 0x810d 	
| V:1 D:0 Tag: 0x810d 	
| V:1 D:0 Tag: 0x8169 	
| V:1 D:0 Tag: 0x813a 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x8163 	
| V:1 D:0 Tag: 0x815d 	
| V:1 D:0 Tag: 0x8165 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x8159 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x819d 	
| V:1 D:0 Tag: 0x81a9 	
| V:1 D:0 Tag: 0x819d 	
| V:1 D:0 Tag: 0x819d 	
| V:1 D:0 Tag: 0x8161 	
| V:1 D:0 Tag: 0x8160 	
| V:1 D:0 Tag: 0x815b 	
| V:1 D:0 Tag: 0x8165 	
| V:1 D:0 Tag: 0x81c5 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x815d 	
| V:1 D:0 Tag: 0x81a9 	
| V:1 D:0 Tag: 0x8169 	
| V:1 D:0 Tag: 0x8167 	
| V:1 D:0 Tag: 0x81a9 	
=========================L2==========================
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x101d 	
| V:1 D:0 Tag: 0x1015 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1022 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x102d 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x101d 	
| V:1 D:0 Tag: 0x101d 	
| V:1 D:0 Tag: 0x101d 	
| V:1 D:0 Tag: 0x101d 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1024 	
| V:1 D:0 Tag: 0x1023 	
| V:1 D:0 Tag: 0x1023 	
| V:1 D:0 Tag: 0x1023 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x1028 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:1 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1025 	
| V:1 D:0 Tag: 0x102b 	
| V:1 D:0 Tag: 0x102c 	
| V:1 D:0 Tag: 0x1027 	
| V:1 D:0 Tag: 0x1015 	
| V:1 D:0 Tag: 0x1015 	
