filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x8074 	
| V:1 D:1 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8068 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:1 Tag: 0x4002 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8075 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407ff 	
