filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80495b 	
| V:1 D:0 Tag: 0x808f2c 	
| V:1 D:0 Tag: 0x808f2b 	
| V:1 D:0 Tag: 0x8093a0 	
| V:1 D:0 Tag: 0x80930f 	
| V:1 D:0 Tag: 0x809307 	
| V:1 D:1 Tag: 0x80e662 	
| V:1 D:0 Tag: 0x809393 	
| V:1 D:1 Tag: 0x407ff80 	
| V:1 D:1 Tag: 0x407ff81 	
| V:1 D:0 Tag: 0x80e5d4 	
| V:1 D:0 Tag: 0x8089d7 	
| V:1 D:0 Tag: 0x80f55e 	
| V:1 D:0 Tag: 0x8092c7 	
| V:1 D:0 Tag: 0x8089b6 	
| V:1 D:0 Tag: 0x8092c5 	
| V:1 D:1 Tag: 0x80f568 	
| V:1 D:0 Tag: 0x8092c8 	
| V:1 D:0 Tag: 0x807507 	
| V:1 D:1 Tag: 0x407ffb6 	
| V:1 D:1 Tag: 0x407ffb5 	
| V:1 D:1 Tag: 0x80f612 	
| V:1 D:1 Tag: 0x80f613 	
| V:1 D:1 Tag: 0x407ffa9 	
| V:1 D:1 Tag: 0x407ffaa 	
| V:1 D:0 Tag: 0x8089b7 	
| V:1 D:0 Tag: 0x8092c6 	
| V:1 D:1 Tag: 0x407ffa5 	
| V:1 D:1 Tag: 0x407ffa6 	
| V:1 D:0 Tag: 0x8093c0 	
| V:1 D:1 Tag: 0x407ffa2 	
| V:1 D:1 Tag: 0x407ff9e 	
| V:1 D:0 Tag: 0x80faae 	
| V:1 D:1 Tag: 0x8109b5 	
| V:1 D:1 Tag: 0x80f768 	
| V:1 D:0 Tag: 0x80930b 	
| V:1 D:1 Tag: 0x80f60a 	
| V:1 D:0 Tag: 0x807ed5 	
| V:1 D:0 Tag: 0x8109c5 	
| V:1 D:1 Tag: 0x407ffb2 	
| V:1 D:0 Tag: 0x8092cb 	
| V:1 D:0 Tag: 0x8092ca 	
| V:1 D:0 Tag: 0x80f9b6 	
| V:1 D:1 Tag: 0x80f561 	
| V:1 D:0 Tag: 0x80f9b5 	
| V:1 D:0 Tag: 0x80f9b4 	
| V:1 D:0 Tag: 0x80f9b3 	
| V:1 D:0 Tag: 0x80f9b2 	
| V:1 D:0 Tag: 0x80f9b1 	
| V:1 D:0 Tag: 0x80f9b0 	
| V:1 D:1 Tag: 0x80f562 	
| V:1 D:0 Tag: 0x80f9af 	
| V:1 D:0 Tag: 0x80f9ae 	
| V:1 D:0 Tag: 0x808a2d 	
| V:1 D:0 Tag: 0x80faad 	
| V:1 D:0 Tag: 0x809297 	
| V:1 D:0 Tag: 0x809298 	
| V:1 D:0 Tag: 0x8091e0 	
| V:1 D:1 Tag: 0x4800bd 	
| V:1 D:0 Tag: 0x400008 	
