filename = Config/All-FA_32.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80bdfa 	
| V:1 D:0 Tag: 0x406e15 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x4086f3 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x4086f2 	
| V:1 D:0 Tag: 0x407cf4 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x408a26 	
| V:1 D:0 Tag: 0x203ffe4 	
| V:1 D:0 Tag: 0x405433 	
| V:1 D:0 Tag: 0x405432 	
| V:1 D:0 Tag: 0x4055d3 	
| V:1 D:0 Tag: 0x408601 	
| V:1 D:0 Tag: 0x4055d2 	
| V:1 D:0 Tag: 0x408d26 	
| V:1 D:0 Tag: 0x4055d1 	
| V:1 D:0 Tag: 0x4081d3 	
| V:1 D:0 Tag: 0x40899b 	
| V:1 D:0 Tag: 0x4055d0 	
| V:1 D:0 Tag: 0x404ee7 	
| V:1 D:0 Tag: 0x408946 	
| V:1 D:0 Tag: 0x408940 	
| V:1 D:0 Tag: 0x404ee6 	
| V:1 D:0 Tag: 0x203ffea 	
| V:1 D:0 Tag: 0x203ffe9 	
| V:1 D:0 Tag: 0x404e5f 	
| V:1 D:0 Tag: 0x203ffe8 	
| V:1 D:0 Tag: 0x404e70 	
| V:1 D:0 Tag: 0x407416 	
| V:1 D:0 Tag: 0x409010 	
| V:1 D:0 Tag: 0x404e6f 	
| V:1 D:0 Tag: 0x408954 	
| V:1 D:0 Tag: 0x405910 	
| V:1 D:0 Tag: 0x4074ae 	
| V:1 D:0 Tag: 0x203fe4a 	
| V:1 D:0 Tag: 0x203fe4c 	
| V:1 D:0 Tag: 0x203fe4b 	
| V:1 D:0 Tag: 0x40590f 	
| V:1 D:0 Tag: 0x203fe4d 	
| V:1 D:0 Tag: 0x40590e 	
| V:1 D:0 Tag: 0x4089ac 	
| V:1 D:0 Tag: 0x405911 	
| V:1 D:0 Tag: 0x40590d 	
| V:1 D:0 Tag: 0x407415 	
| V:1 D:0 Tag: 0x40894b 	
| V:1 D:0 Tag: 0x404e6e 	
| V:1 D:0 Tag: 0x409018 	
| V:1 D:0 Tag: 0x408953 	
| V:1 D:0 Tag: 0x40901d 	
| V:1 D:0 Tag: 0x405d8b 	
| V:1 D:0 Tag: 0x407414 	
| V:1 D:0 Tag: 0x40894a 	
| V:1 D:0 Tag: 0x409019 	
| V:1 D:0 Tag: 0x404e6d 	
| V:1 D:0 Tag: 0x40901a 	
| V:1 D:0 Tag: 0x406f57 	
| V:1 D:0 Tag: 0x404e6c 	
| V:1 D:0 Tag: 0x408952 	
| V:1 D:0 Tag: 0x4072ae 	
| V:1 D:0 Tag: 0x405d8a 	
| V:1 D:0 Tag: 0x407413 	
| V:1 D:0 Tag: 0x40900f 	
