filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x807d 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:0 Tag: 0x8060 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:1 Tag: 0x8077 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8071 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8073 	
| V:1 D:1 Tag: 0x8073 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x807f 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
