filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x8089 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:1 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x4593 	
| V:1 D:1 Tag: 0x4808 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:1 Tag: 0x4821 	
| V:1 D:1 Tag: 0x4821 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44d6 	
| V:1 D:0 Tag: 0x4821 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x4808 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x8089 	
=========================L2==========================
| V:1 D:1 Tag: 0x800 	
| V:1 D:1 Tag: 0x800 	
| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x913 	
| V:1 D:1 Tag: 0x85e 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x800 	
| V:1 D:0 Tag: 0x1003 	
| V:1 D:0 Tag: 0x913 	
| V:1 D:0 Tag: 0x1003 	
| V:1 D:0 Tag: 0x1003 	
| V:1 D:0 Tag: 0x1003 	
| V:1 D:0 Tag: 0x1003 	
| V:1 D:0 Tag: 0x1006 	
| V:1 D:0 Tag: 0x1006 	
