filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:0 Tag: 0x8052 	
| V:1 D:1 Tag: 0x8052 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x804a 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804f 	
| V:1 D:0 Tag: 0x804f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8038 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x8051 	
| V:1 D:1 Tag: 0x8051 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804b 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8078 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:0 Tag: 0x804e 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x8049 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
| V:1 D:1 Tag: 0x410d 	
=========================L2==========================
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2014 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2000 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2000 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1000 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:1 Tag: 0x1044 	
| V:1 D:1 Tag: 0x1044 	| V:1 D:1 Tag: 0x1045 	
