filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802ada 	
| V:1 D:0 Tag: 0x8052c2 	
| V:1 D:1 Tag: 0x400005 	
| V:1 D:0 Tag: 0x80743b 	
| V:1 D:0 Tag: 0x807430 	
| V:1 D:0 Tag: 0x8052c1 	
| V:1 D:1 Tag: 0x400004 	
| V:1 D:0 Tag: 0x8071d1 	
| V:1 D:0 Tag: 0x8052c0 	
| V:1 D:1 Tag: 0x400003 	
| V:1 D:0 Tag: 0x8071d2 	
| V:1 D:0 Tag: 0x8071c7 	
| V:1 D:1 Tag: 0x407ffb5 	
| V:1 D:1 Tag: 0x407ffb4 	
| V:1 D:1 Tag: 0x407ffb6 	
| V:1 D:1 Tag: 0x807d84 	
| V:1 D:1 Tag: 0x807eae 	
| V:1 D:1 Tag: 0x807dab 	
| V:1 D:1 Tag: 0x807d97 	
| V:1 D:0 Tag: 0x807daa 	
| V:1 D:1 Tag: 0x407ffb0 	
| V:1 D:1 Tag: 0x807d98 	
| V:1 D:1 Tag: 0x807d9a 	
| V:1 D:1 Tag: 0x807d9d 	
| V:1 D:1 Tag: 0x807d9c 	
| V:1 D:1 Tag: 0x807d9b 	
| V:1 D:1 Tag: 0x807d99 	
| V:1 D:1 Tag: 0x807d9e 	
| V:1 D:1 Tag: 0x407ffac 	
| V:1 D:1 Tag: 0x807d87 	
| V:1 D:1 Tag: 0x807d8a 	
| V:1 D:1 Tag: 0x807d89 	
| V:1 D:1 Tag: 0x807d88 	
| V:1 D:1 Tag: 0x807d86 	
| V:1 D:1 Tag: 0x807d8b 	
| V:1 D:0 Tag: 0x8070fe 	
| V:1 D:0 Tag: 0x807433 	
| V:1 D:0 Tag: 0x8070fc 	
| V:1 D:1 Tag: 0x407fe78 	
| V:1 D:0 Tag: 0x80520e 	
| V:1 D:1 Tag: 0x407ffa9 	
| V:1 D:1 Tag: 0x400820 	
| V:1 D:1 Tag: 0x407fe9e 	
| V:1 D:1 Tag: 0x407ffaf 	
| V:1 D:1 Tag: 0x407ffae 	
| V:1 D:0 Tag: 0x80520d 	
| V:1 D:0 Tag: 0x807d27 	
| V:1 D:1 Tag: 0x40081f 	
| V:1 D:0 Tag: 0x806c13 	
| V:1 D:0 Tag: 0x806129 	
| V:1 D:0 Tag: 0x807ba9 	
| V:1 D:0 Tag: 0x807d28 	
| V:1 D:0 Tag: 0x807baa 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x40156d 	
| V:1 D:0 Tag: 0x40156c 	
| V:1 D:0 Tag: 0x40109d 	
| V:1 D:0 Tag: 0x4012e4 	
| V:1 D:0 Tag: 0x4011b3 	
| V:1 D:0 Tag: 0x4012b2 	
| V:1 D:0 Tag: 0x4012b1 	
| V:1 D:0 Tag: 0x4012b3 	
| V:1 D:0 Tag: 0x4035bc 	
| V:1 D:0 Tag: 0x4012b0 	
| V:1 D:0 Tag: 0x40121d 	
| V:1 D:0 Tag: 0x40121c 	
| V:1 D:0 Tag: 0x4035bd 	
| V:1 D:0 Tag: 0x40121a 	
| V:1 D:0 Tag: 0x401219 	
| V:1 D:0 Tag: 0x403750 	
| V:1 D:0 Tag: 0x40374f 	
| V:1 D:1 Tag: 0x20040f 	
| V:1 D:0 Tag: 0x4012af 	
| V:1 D:0 Tag: 0x4011b2 	
| V:1 D:0 Tag: 0x40374b 	
| V:1 D:0 Tag: 0x4012e3 	
| V:1 D:0 Tag: 0x4035ae 	
