filename = Config/All-FA_64.txt
L1ICost 1800
L1DCost 1800
I2 Size 65536
L2Cost 550
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 4425
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x808d47 	
| V:1 D:0 Tag: 0x811b0f 	
| V:1 D:0 Tag: 0x8110f7 	
| V:1 D:0 Tag: 0x81109f 	
| V:1 D:0 Tag: 0x805d43 	
| V:1 D:0 Tag: 0x8110a2 	
| V:1 D:0 Tag: 0x81fd12 	
| V:1 D:0 Tag: 0x81fd13 	
| V:1 D:0 Tag: 0x824192 	
| V:1 D:1 Tag: 0x407fbd8 	
| V:1 D:1 Tag: 0x407fb49 	
| V:1 D:1 Tag: 0x811803 	
| V:1 D:0 Tag: 0x811222 	
| V:1 D:1 Tag: 0x407fb4a 	
| V:1 D:1 Tag: 0x811802 	
| V:1 D:0 Tag: 0x811221 	
| V:1 D:0 Tag: 0x811220 	
| V:1 D:1 Tag: 0x8246bf 	
| V:1 D:1 Tag: 0x811801 	
| V:1 D:1 Tag: 0x407fb44 	
| V:1 D:1 Tag: 0x407fb43 	
| V:1 D:1 Tag: 0x8246be 	
| V:1 D:0 Tag: 0x811223 	
| V:1 D:0 Tag: 0x811b42 	
| V:1 D:1 Tag: 0x407fb4e 	
| V:1 D:1 Tag: 0x407fb4d 	
| V:1 D:1 Tag: 0x407fb5e 	
| V:1 D:1 Tag: 0x8117ec 	
| V:1 D:1 Tag: 0x407fb5d 	
| V:1 D:1 Tag: 0x407fb5c 	
| V:1 D:1 Tag: 0x407fb5b 	
| V:1 D:1 Tag: 0x407fb5a 	
| V:1 D:1 Tag: 0x407fb59 	
| V:1 D:1 Tag: 0x407fb58 	
| V:1 D:1 Tag: 0x407fb57 	
| V:1 D:1 Tag: 0x407fb56 	
| V:1 D:1 Tag: 0x407fb55 	
| V:1 D:1 Tag: 0x407fb52 	
| V:1 D:1 Tag: 0x407fb51 	
| V:1 D:1 Tag: 0x407fb50 	
| V:1 D:1 Tag: 0x407fb4f 	
| V:1 D:0 Tag: 0x811224 	
| V:1 D:0 Tag: 0x82419f 	
| V:1 D:0 Tag: 0x811f20 	
| V:1 D:1 Tag: 0x407fb93 	
| V:1 D:1 Tag: 0x824a7f 	
| V:1 D:0 Tag: 0x80e65d 	
| V:1 D:0 Tag: 0x8102ae 	
| V:1 D:0 Tag: 0x810fc8 	
| V:1 D:1 Tag: 0x407fb32 	
| V:1 D:1 Tag: 0x812058 	
| V:1 D:0 Tag: 0x812059 	
| V:1 D:0 Tag: 0x81204e 	
| V:1 D:0 Tag: 0x811214 	
| V:1 D:0 Tag: 0x81121c 	
| V:1 D:0 Tag: 0x808db8 	
| V:1 D:0 Tag: 0x80e26b 	
| V:1 D:0 Tag: 0x8102b7 	
| V:1 D:0 Tag: 0x81200c 	
| V:1 D:0 Tag: 0x808db7 	
| V:1 D:0 Tag: 0x82419e 	
| V:1 D:1 Tag: 0x824a7e 	
| V:1 D:0 Tag: 0x82419d 	
| V:1 D:0 Tag: 0x808db9 	
| V:1 D:0 Tag: 0x80e736 	
| V:1 D:0 Tag: 0x8121ad 	
| V:1 D:0 Tag: 0x8102b8 	
| V:1 D:0 Tag: 0x81200d 	
| V:1 D:0 Tag: 0x80fb43 	
| V:1 D:0 Tag: 0x810fc9 	
| V:1 D:1 Tag: 0x824677 	
| V:1 D:1 Tag: 0x811804 	
| V:1 D:1 Tag: 0x407fba2 	
| V:1 D:0 Tag: 0x811f21 	
| V:1 D:1 Tag: 0x407fba1 	
| V:1 D:1 Tag: 0x407fba0 	
| V:1 D:1 Tag: 0x407fb9f 	
| V:1 D:1 Tag: 0x407fb9e 	
| V:1 D:1 Tag: 0x407fb9d 	
| V:1 D:1 Tag: 0x407fb9c 	
| V:1 D:1 Tag: 0x407fb9b 	
| V:1 D:1 Tag: 0x407fb9a 	
| V:1 D:1 Tag: 0x407fb99 	
| V:1 D:0 Tag: 0x811f36 	
| V:1 D:1 Tag: 0x407fb96 	
| V:1 D:1 Tag: 0x407fb95 	
| V:1 D:1 Tag: 0x407fb94 	
| V:1 D:0 Tag: 0x82414f 	
| V:1 D:1 Tag: 0x407ff26 	
| V:1 D:0 Tag: 0x811225 	
| V:1 D:1 Tag: 0x824a7d 	
| V:1 D:0 Tag: 0x82475a 	
| V:1 D:0 Tag: 0x811b40 	
| V:1 D:0 Tag: 0x8246b0 	
| V:1 D:0 Tag: 0x81121a 	
| V:1 D:1 Tag: 0x407fb8b 	
| V:1 D:1 Tag: 0x407fbcf 	
| V:1 D:0 Tag: 0x824745 	
| V:1 D:0 Tag: 0x8246ab 	
| V:1 D:1 Tag: 0x407fb60 	
| V:1 D:1 Tag: 0x407fba4 	
| V:1 D:1 Tag: 0x824a7c 	
| V:1 D:1 Tag: 0x8117f0 	
| V:1 D:0 Tag: 0x811226 	
| V:1 D:1 Tag: 0x811808 	
| V:1 D:1 Tag: 0x811806 	
| V:1 D:1 Tag: 0x811805 	
| V:1 D:1 Tag: 0x407fbe1 	
| V:1 D:0 Tag: 0x811ac5 	
| V:1 D:0 Tag: 0x811377 	
| V:1 D:0 Tag: 0x811229 	
| V:1 D:1 Tag: 0x407fb92 	
| V:1 D:1 Tag: 0x407fb53 	
| V:1 D:1 Tag: 0x407fb54 	
| V:1 D:1 Tag: 0x407fb5f 	
| V:1 D:1 Tag: 0x407fb61 	
| V:1 D:1 Tag: 0x407fb62 	
| V:1 D:1 Tag: 0x407fb63 	
| V:1 D:1 Tag: 0x407fb64 	
| V:1 D:1 Tag: 0x407fb65 	
| V:1 D:1 Tag: 0x407fb66 	
| V:1 D:1 Tag: 0x407fb67 	
| V:1 D:1 Tag: 0x407fb68 	
| V:1 D:1 Tag: 0x407fb69 	
| V:1 D:1 Tag: 0x407fb6a 	
| V:1 D:1 Tag: 0x407fb6b 	
| V:1 D:1 Tag: 0x407fb6c 	
| V:1 D:1 Tag: 0x407fb6d 	
